authority,amount,balance,pool,poolShare,dailyRewardsRate,farmer
6JLizo4EWhyGEbWuLnRYM3n1ctXbpYquFdBZPjNn65SH,31848.568136,40.100628106,Token BREN,5.1997662261,43750,FbMVNkiqPTCqW4pjQCBEfZPehw5JHykZnfc64RPkS44U
3LZzt4FDutDXCCuZcHGvJxpGAXEx4NfonT5LpLiYfw1a,31121.864172,1493325.923357273,Token uSdK,5.0811206808,43750,9n2iY2vuR92yvnDDf2tZ6hxaRv576gVMyjyFKZ16kN62
H9PFeRuBAn2evKjkZ4p3beKE8PqUPFffcg1E34qXTYXi,30757.39338,34026.031336471,Token stSj,5.0216152464,43750,4ZCUJjhpTApf29D7pKysPc2xvZUWDYq73RDzwkLNpybw
9mUWxZiKDayoRhLo4kod9wsZVpy2w3w49iYTDAmznD5h,30540.45365,141.22879069,Token SLPb,1.6620655049,131250,56aPXRo3hx4cjRZKpSaWuzs6TrAdka1K1pVsCjaB7BEz
APBRMU4UqPS3DVMhFrdrt2v9iugTUJnpHEwiEjZL5rVY,29717.173514,2000700.019395008,Token MAiP,4.8517834310,43750,GvJCYucYoFQ66Ny1N2egq38murW3dhMaD73yPxaCiAgs
DQDWUghuMGissrVV2mBwWSSKimf7Ki47p6oq9MgLdrf2,28759.124184,3594992.198448214,Token UST3,0.9390734426,218750,4SYzkC1jeQExwgiJiEW1jh6WvwLWaPpPGFj4Kfopfz9V
Dgebp3zPPmLnCbQKpLbfup7NWgMFsiL821yUUtYGVnFe,28511.731808,3564067.277582559,Token UST3,0.9309953244,218750,E4zRKBGgKp3NPdjgfkc2ByHpwdCLPsjjzsVtxXoKf73a
H3RToEpkFc6E6TkEhwv8xbz3s99oCfN6bGhhRVvFj21B,28484.935738,41602.232272859,Token PrsV,4.6506017535,43750,2NUXYxByu7buNPaBUpamj6Yi58sBM5ni7U34DYFrnL17
FYRdUrBuLaWaVVTLg7JgC2ApBDCvGLvnqo3fo5Nc9xzE,28224.716198,10325671.343088,Token 2poo,1.1520292329,175000,5NQhwxcnpd84xnaeWShyFE79zLL67NcAmvCLbsMahaEj
5uverCczabocDNAXWjD17EF3thJp56CFH1wmNfJaAxo6,28195.452936,10314965.727412,Token 2poo,1.1508348134,175000,7tW3Y3s1VpV5GAPqSNU1mN6xcYQfL3fR7GB3U1uY3CKM
DJhhFeR91gDrapCVbqTFD51zAqPbumZDkdi5Dfahmcms,28072.595768,41000.009977567,Token PrsV,4.5832809414,43750,9iPwKV2fXTikHAkebbsnNFFoEyQHvV4ENkSDXstvAKyz
FPoamnamuuLadDykDrMmYhUJRJaZKL9xMQ6Nm9u5HZCV,27917.571696,1923111.702135498,Token BUSD,4.5579708886,43750,BeHJcuybeq5i6wJaYR7SzaA8x23MGqWEVyuuYgcwSwvs
Ex7p1xReengyjRdH5PwQwzRFKwtfP8sNhNjjGbXdeumo,27103.041686,120369.309580122,Token FTXd,4.4249863987,43750,Dq6oAhGTpELK9JpBPtirurXjA6DiKq1fBnjV7UEvTpMb
FJwjZm1ppQSGLZTF5osbxutVBJGCBJZfPhcPxc3kDt6x,27078.462362,9906328.228048,Token 2poo,1.1052433619,175000,AEf55ErpNA4iYCB1qUutGCpsxQUoPGW6izrZ7C3AjRHk
AB8dzFZn4friVP5fHyAW7nUv82gFEwodgpZaBcuRaBW3,26834.364606,61719.778527286,Token LUNk,4.3811207524,43750,FBXPtR6yTJ8KGeUbBJSN3goChGL95qN8F27t6J3FDbGh
5dD4UoibXqmVHzwHbke7o85sdE3Fs8LYAmXX7wphfDmr,26725.291656,9777124.992131,Token 2poo,1.0908282309,175000,8FB8nb1ZNdnUCsss6LNY7ygpQP3HcihUjCnocqiVGGgt
AG2NbcssyPjVftpgkLW7fZuTtjDgTsBmp2YMv2ibFEze,26650.669598,1794248.539937818,Token MAiP,4.3511297310,43750,4iejMdzDsxinPVN6xb94VA22Fw4QFZ8KAg9UF7CBYugF
A5qwycJqznJR3R8BVD4T2QVVbi3ZapzFD5dJcGwZdTDS,26345.954684,54.62952144,Token pBTC,4.3013803572,43750,Ey1uGJ6sGpbso52K4tAm8VdpqsYsYLEyxmiJThv4feNQ
